asin,reviewer_id,rating,review_text
B004110,1231,2,Review text 0
B004898,3811,4,Review text 1
B007757,3489,5,Review text 2
B002267,980,1,Review text 3
B001365,1896,3,Review text 4
B000842,1712,1,Review text 5
B008742,3362,2,Review text 6
B000316,4552,3,Review text 7
B000513,1497,4,Review text 8
B000487,4267,4,Review text 9
B001277,1484,4,Review text 10
B000006,3411,3,Review text 11
B001946,3802,4,Review text 12
B001310,1941,3,Review text 13
B000336,94,2,Review text 14
B007175,3642,4,Review text 15
B002669,1600,4,Review text 16
B007788,4268,5,Review text 17
B006010,3169,3,Review text 18
B008869,3471,2,Review text 19
B004746,4088,4,Review text 20
B007906,3686,4,Review text 21
B007333,1627,2,Review text 22
B006202,2379,3,Review text 23
B000745,871,4,Review text 24
B002337,3762,1,Review text 25
B002993,3767,2,Review text 26
B003845,3261,3,Review text 27
B000067,4056,3,Review text 28
B004561,3922,4,Review text 29
B008129,817,4,Review text 30
B001356,4741,4,Review text 31
B008197,4828,4,Review text 32
B000297,469,1,Review text 33
B004689,739,4,Review text 34
B007536,3089,2,Review text 35
B006012,868,2,Review text 36
B004303,3678,1,Review text 37
B005235,716,1,Review text 38
B009213,15,4,Review text 39
B006059,2084,1,Review text 40
B007326,2389,3,Review text 41
B005627,4202,3,Review text 42
B009831,520,1,Review text 43
B008946,2214,5,Review text 44
B008958,3837,2,Review text 45
B007706,1280,5,Review text 46
B008683,4286,3,Review text 47
B000981,4089,5,Review text 48
B005291,2938,4,Review text 49
B006887,1674,3,Review text 50
B007938,3470,5,Review text 51
B000298,228,5,Review text 52
B006380,593,5,Review text 53
B008444,2528,2,Review text 54
B008662,2788,1,Review text 55
B005572,126,1,Review text 56
B003134,3536,3,Review text 57
B009903,1231,1,Review text 58
B005777,3177,1,Review text 59
B002935,3445,3,Review text 60
B006087,725,4,Review text 61
B005384,2698,4,Review text 62
B001122,679,1,Review text 63
B006902,2145,4,Review text 64
B002170,4831,2,Review text 65
B002338,4825,5,Review text 66
B006807,4330,2,Review text 67
B003295,1198,4,Review text 68
B004533,4791,2,Review text 69
B001731,2381,4,Review text 70
B002677,3938,1,Review text 71
B006837,3292,2,Review text 72
B003147,592,5,Review text 73
B009463,4436,3,Review text 74
B005301,623,3,Review text 75
B000436,3301,1,Review text 76
B008433,412,1,Review text 77
B007669,2350,5,Review text 78
B000439,3286,2,Review text 79
B002293,583,2,Review text 80
B000618,1927,5,Review text 81
B006290,3424,1,Review text 82
B002387,2713,4,Review text 83
B001368,1144,2,Review text 84
B008748,4243,1,Review text 85
B004454,3074,3,Review text 86
B006477,1940,3,Review text 87
B003438,2538,5,Review text 88
B004437,4057,3,Review text 89
B002577,3646,5,Review text 90
B009833,2173,4,Review text 91
B000690,2860,2,Review text 92
B003586,2361,1,Review text 93
B007957,1930,1,Review text 94
B009820,4268,1,Review text 95
B006300,1884,1,Review text 96
B004514,2689,2,Review text 97
B004089,1167,5,Review text 98
B008623,4785,3,Review text 99
B007012,2999,3,Review text 100
B008823,2918,3,Review text 101
B002413,2125,1,Review text 102
B004287,92,2,Review text 103
B000027,3367,3,Review text 104
B000196,340,2,Review text 105
B000367,3053,1,Review text 106
B006774,1485,3,Review text 107
B003130,2694,1,Review text 108
B006870,916,2,Review text 109
B008999,501,2,Review text 110
B004520,1348,2,Review text 111
B008008,3537,3,Review text 112
B005583,4796,5,Review text 113
B002284,4442,2,Review text 114
B007949,771,1,Review text 115
B004348,3228,1,Review text 116
B006092,1558,1,Review text 117
B006596,4544,3,Review text 118
B004624,3485,4,Review text 119
B001225,2304,2,Review text 120
B007559,3677,3,Review text 121
B003633,4758,3,Review text 122
B007928,1672,4,Review text 123
B007666,4916,2,Review text 124
B003059,739,1,Review text 125
B009997,2554,5,Review text 126
B006753,3305,3,Review text 127
B001998,4097,2,Review text 128
B004013,266,4,Review text 129
B008439,4809,2,Review text 130
B003648,3477,1,Review text 131
B003471,138,3,Review text 132
B007869,941,5,Review text 133
B008540,2438,1,Review text 134
B005017,958,1,Review text 135
B007565,244,2,Review text 136
B002673,4097,5,Review text 137
B000925,4184,2,Review text 138
B008317,3972,1,Review text 139
B000164,951,5,Review text 140
B000978,3783,1,Review text 141
B006241,637,3,Review text 142
B001857,4977,2,Review text 143
B002199,2601,5,Review text 144
B003559,83,3,Review text 145
B009958,1479,3,Review text 146
B005684,4274,2,Review text 147
B006137,3472,2,Review text 148
B005425,4167,3,Review text 149
B004339,4306,3,Review text 150
B008685,4952,5,Review text 151
B003061,2307,5,Review text 152
B003595,1269,5,Review text 153
B006525,82,1,Review text 154
B003423,2087,1,Review text 155
B007582,2493,5,Review text 156
B001577,2615,1,Review text 157
B005651,1586,5,Review text 158
B009411,2598,1,Review text 159
B001650,2688,5,Review text 160
B005597,1906,1,Review text 161
B009367,589,1,Review text 162
B003354,2975,4,Review text 163
B002338,1038,4,Review text 164
B004519,4201,2,Review text 165
B005287,741,4,Review text 166
B004068,1572,2,Review text 167
B006676,1250,2,Review text 168
B008714,2595,1,Review text 169
B008382,4830,2,Review text 170
B009950,4809,2,Review text 171
B000124,299,5,Review text 172
B002253,397,2,Review text 173
B006014,2259,3,Review text 174
B005177,517,1,Review text 175
B008810,1792,5,Review text 176
B004315,3553,1,Review text 177
B001303,901,2,Review text 178
B008213,2787,4,Review text 179
B003145,1824,3,Review text 180
B001118,3363,5,Review text 181
B002591,3099,3,Review text 182
B009603,1908,1,Review text 183
B006839,2271,1,Review text 184
B000329,2629,4,Review text 185
B002410,1648,5,Review text 186
B007210,3249,3,Review text 187
B002770,2583,4,Review text 188
B005966,1086,2,Review text 189
B000624,862,2,Review text 190
B002976,597,5,Review text 191
B004546,2042,2,Review text 192
B008359,2013,2,Review text 193
B000789,596,1,Review text 194
B001004,4877,5,Review text 195
B005350,471,4,Review text 196
B007570,98,5,Review text 197
B006589,2335,2,Review text 198
B000041,1379,3,Review text 199
B001888,4709,5,Review text 200
B005338,1007,5,Review text 201
B005868,3937,1,Review text 202
B004863,4079,3,Review text 203
B001200,408,5,Review text 204
B004931,2993,5,Review text 205
B008712,2686,3,Review text 206
B001619,4383,3,Review text 207
B009015,275,4,Review text 208
B004172,3689,2,Review text 209
B007923,4379,4,Review text 210
B008768,2129,4,Review text 211
B009527,194,4,Review text 212
B004360,2491,3,Review text 213
B005022,1778,5,Review text 214
B009113,1813,5,Review text 215
B000873,1580,1,Review text 216
B001042,2869,1,Review text 217
B006822,1754,2,Review text 218
B001294,4973,1,Review text 219
B002703,4413,5,Review text 220
B002906,825,2,Review text 221
B002022,3609,5,Review text 222
B001392,2296,4,Review text 223
B005836,2317,3,Review text 224
B007102,1916,3,Review text 225
B007197,4089,2,Review text 226
B007332,217,5,Review text 227
B004367,1796,5,Review text 228
B000626,1639,3,Review text 229
B009404,2169,4,Review text 230
B002912,1108,5,Review text 231
B009106,3226,1,Review text 232
B003714,418,3,Review text 233
B004363,86,2,Review text 234
B009724,989,3,Review text 235
B009611,3773,4,Review text 236
B009757,3113,3,Review text 237
B001124,3673,2,Review text 238
B008232,3788,1,Review text 239
B004238,3647,4,Review text 240
B006094,1952,3,Review text 241
B006765,4689,3,Review text 242
B001503,4507,2,Review text 243
B001096,2053,2,Review text 244
B005443,3907,4,Review text 245
B009864,663,2,Review text 246
B002130,758,2,Review text 247
B005799,2302,3,Review text 248
B003050,667,1,Review text 249
B002378,6,2,Review text 250
B008522,2690,1,Review text 251
B006845,2679,3,Review text 252
B001030,4801,1,Review text 253
B009245,2732,1,Review text 254
B007843,1934,1,Review text 255
B005127,4761,5,Review text 256
B001357,3261,5,Review text 257
B002118,4529,4,Review text 258
B007141,4594,1,Review text 259
B000222,165,2,Review text 260
B005660,1773,1,Review text 261
B008964,3719,3,Review text 262
B004469,4775,5,Review text 263
B005991,4763,2,Review text 264
B003685,1756,5,Review text 265
B000674,3188,5,Review text 266
B002562,1143,3,Review text 267
B000578,4720,3,Review text 268
B003142,1551,1,Review text 269
B003096,3878,3,Review text 270
B001392,1061,4,Review text 271
B005871,665,5,Review text 272
B006463,2990,5,Review text 273
B005355,4765,2,Review text 274
B008629,3410,1,Review text 275
B008297,3718,3,Review text 276
B001966,938,3,Review text 277
B004738,1859,3,Review text 278
B007340,2405,4,Review text 279
B007485,1260,1,Review text 280
B002260,481,3,Review text 281
B004849,3132,5,Review text 282
B007168,2705,3,Review text 283
B008891,4161,4,Review text 284
B001983,1942,5,Review text 285
B003616,2323,2,Review text 286
B000917,1328,5,Review text 287
B007696,3789,2,Review text 288
B008132,3976,3,Review text 289
B007362,3705,5,Review text 290
B001582,1903,4,Review text 291
B001684,4586,2,Review text 292
B007038,2247,1,Review text 293
B002922,1470,1,Review text 294
B007913,2422,2,Review text 295
