product_id,name,category,brand,price,min_order_quantity,bulk_discount,rating
1,B2B Product 1,Safety Equipment,Brand_48,4664.546986881636,76,0.2848903498485419,4.536906367973646
2,B2B Product 2,Manufacturing Tools,Brand_1,1273.2961015752626,80,0.23377256619872894,4.359333333273799
3,B2B Product 3,Raw Materials,Brand_39,4201.5623715291995,97,0.05914533966329187,3.013299309768474
4,B2B Product 4,Office Supplies,Brand_17,387.4177730146185,99,0.18092287002500285,3.7354560624512354
5,B2B Product 5,Industrial Equipment,Brand_19,149.31462706232222,4,0.16656916764610508,3.3590244332798074
6,B2B Product 6,Manufacturing Tools,Brand_19,3089.1842406815877,13,0.2874441975460461,3.2415505965291658
7,B2B Product 7,Industrial Equipment,Brand_6,3042.959620775767,5,0.12407652335683476,3.2173816973345017
8,B2B Product 8,Office Furniture,Brand_6,4585.742389986587,24,0.2517586764831523,4.224159933764539
9,B2B Product 9,Office Supplies,Brand_21,2614.464133462869,89,0.24224629753435112,3.838997416755058
10,B2B Product 10,IT Hardware,Brand_14,1156.9391907953004,54,0.26057847298686837,3.279406144839193
11,B2B Product 11,Office Supplies,Brand_11,3576.723982955278,63,0.2118566537127567,3.457548005889221
12,B2B Product 12,Office Furniture,Brand_25,3280.2012323814374,84,0.2632041192954689,4.56658612380037
13,B2B Product 13,Raw Materials,Brand_11,1781.9855254098675,26,0.23455071796705135,4.0753146196588945
14,B2B Product 14,IT Hardware,Brand_4,2698.679255839639,67,0.05531328059984299,4.600971882300733
15,B2B Product 15,IT Hardware,Brand_13,4943.916386577562,38,0.08054388328136645,4.278449213931757
16,B2B Product 16,Industrial Equipment,Brand_28,57.796566470672985,8,0.26630448758526004,3.2980150711169083
17,B2B Product 17,Office Furniture,Brand_29,1237.7919150296705,23,0.17158598337152892,4.365365436734775
18,B2B Product 18,Safety Equipment,Brand_15,1180.8483307372699,20,0.1753840607695189,4.070817362473454
19,B2B Product 19,Safety Equipment,Brand_13,3928.1136840147947,4,0.2899512836285004,3.0226457500085826
20,B2B Product 20,Raw Materials,Brand_17,3020.5132692166467,57,0.2740141714647151,3.1476290076992015
21,B2B Product 21,Raw Materials,Brand_33,2823.2075659664547,3,0.2377038674640512,3.0373404184226205
22,B2B Product 22,Office Supplies,Brand_11,1654.0651317242166,29,0.2837645076384596,4.888168357563648
23,B2B Product 23,Office Furniture,Brand_22,2713.9400365177657,45,0.18789958977483273,3.8620321826604522
24,B2B Product 24,Safety Equipment,Brand_30,4801.82637994422,73,0.2687550524280663,4.565555346107465
25,B2B Product 25,IT Hardware,Brand_35,519.1434096180894,49,0.2202683666876764,4.162816527860657
26,B2B Product 26,Safety Equipment,Brand_35,2101.694672270274,54,0.05193881618005271,3.2803023286969673
27,B2B Product 27,Office Supplies,Brand_32,2427.5073555882677,91,0.16554393404421153,4.764716410837596
28,B2B Product 28,Office Supplies,Brand_9,1222.8050372877708,55,0.11721604274389548,4.660086025196067
29,B2B Product 29,Manufacturing Tools,Brand_14,2361.070583239302,4,0.22026804621922186,3.5031907498604253
30,B2B Product 30,Raw Materials,Brand_35,4826.149221687434,37,0.1915611401967754,3.2030767184910833
31,B2B Product 31,Office Furniture,Brand_29,3843.0466993919763,48,0.14044348123709066,4.146301657969242
32,B2B Product 32,Office Supplies,Brand_45,4094.061638298686,46,0.05263635357231512,3.5447434384312864
33,B2B Product 33,IT Hardware,Brand_32,3063.9022704830313,46,0.19034537165068682,3.9756400084829764
34,B2B Product 34,Manufacturing Tools,Brand_45,4007.040732719367,46,0.24295420737223838,4.441420126577302
35,B2B Product 35,Safety Equipment,Brand_15,2486.4576872992443,11,0.23937403443983496,4.343215387771918
36,B2B Product 36,Office Supplies,Brand_45,2979.2550420643765,74,0.05773161964290528,3.461349675096496
