transaction_id,user_id,product_id,quantity,unit_price,total_amount,transaction_date,payment_terms
1,650,77,82,3265.831626723417,28717.583325945445,2023-01-01 00:00:00,Net 60
2,1478,601,23,1680.0888418913319,4695.6201031261935,2023-01-01 01:00:00,Net 30
3,64,2220,80,2130.3802305487457,7981.998762054797,2023-01-01 02:00:00,Credit
4,626,1583,2,3943.3307733428173,28781.001391162863,2023-01-01 03:00:00,Credit
5,1210,1884,96,628.4793247207649,8149.675588380036,2023-01-01 04:00:00,Net 60
6,856,2786,25,1170.9598570154337,6599.5334344059165,2023-01-01 05:00:00,Cash
7,975,553,66,4214.115475683867,26187.44696480979,2023-01-01 06:00:00,Cash
8,1374,3485,23,3112.244448389533,42315.79343399963,2023-01-01 07:00:00,Cash
9,633,3413,8,4094.7284176431763,29424.07205848892,2023-01-01 08:00:00,Net 30
10,1477,2428,97,1104.2058401193651,8709.284535099467,2023-01-01 09:00:00,Net 60
11,1307,925,98,3718.4733918282927,26160.257258321562,2023-01-01 10:00:00,Net 60
12,1641,1297,37,2013.9753579774447,19599.92710616946,2023-01-01 11:00:00,Cash
13,110,1962,32,4831.029655747834,14601.731347112574,2023-01-01 12:00:00,Credit
14,32,2175,65,1221.0460766603885,15391.812928706602,2023-01-01 13:00:00,Credit
15,579,4252,34,3054.4004644028128,29315.192579297713,2023-01-01 14:00:00,Net 60
16,1482,2911,4,2404.334238637937,15680.47930955693,2023-01-01 15:00:00,Net 30
17,1448,4820,29,2600.3661296013706,22181.721343906564,2023-01-01 16:00:00,Credit
18,691,4322,26,1762.951522293521,2210.3076950272,2023-01-01 17:00:00,Net 60
19,522,240,32,879.5667831418614,39168.25345639326,2023-01-01 18:00:00,Credit
20,1124,3919,39,1334.1112870177328,32388.476679672858,2023-01-01 19:00:00,Cash
21,1305,1680,28,2579.823602732021,17597.482171043124,2023-01-01 20:00:00,Credit
22,114,3545,94,4559.843084300209,30632.230931214028,2023-01-01 21:00:00,Net 30
23,1424,2385,92,1660.5542957343337,17548.921779098906,2023-01-01 22:00:00,Net 60
24,1261,186,25,236.01818428028545,475.1651008840768,2023-01-01 23:00:00,Credit
25,1280,471,53,805.165626761659,42394.37447123578,2023-01-02 00:00:00,Net 60
26,1383,670,68,733.8914154367891,11046.870940050774,2023-01-02 01:00:00,Cash
27,594,2997,16,1815.5172415172053,19152.215036566427,2023-01-02 02:00:00,Net 30
28,139,2837,54,2219.9868695330388,35432.040350999516,2023-01-02 03:00:00,Net 60
29,187,4893,84,2187.360913249092,27088.43449048856,2023-01-02 04:00:00,Net 60
30,24,1331,72,4846.883852753944,3634.2601795955,2023-01-02 05:00:00,Net 60
31,961,1985,3,4624.4766013224735,13684.971339624622,2023-01-02 06:00:00,Credit
32,1454,1881,53,3771.251260271662,10331.193357516106,2023-01-02 07:00:00,Net 60
33,24,4374,1,3364.133091684308,47728.14287824876,2023-01-02 08:00:00,Cash
34,525,594,35,2381.86902313143,45512.78079528019,2023-01-02 09:00:00,Net 30
35,1876,1336,17,1517.3742960892346,34699.15881124735,2023-01-02 10:00:00,Credit
36,734,1507,12,352.6236604312783,26740.24425577484,2023-01-02 11:00:00,Net 30
37,49,1942,75,194.2794942202926,1603.9113325312956,2023-01-02 12:00:00,Net 60
38,1127,821,27,1658.1812108837325,24639.79498019522,2023-01-02 13:00:00,Credit
39,1426,3199,56,460.7534546868695,31534.867838240036,2023-01-02 14:00:00,Net 30
40,479,1588,51,2047.281502956641,35148.20609759339,2023-01-02 15:00:00,Cash
41,1315,4691,26,2567.2243605199324,34160.42635260655,2023-01-02 16:00:00,Credit
42,1130,3520,55,3116.481223191074,32326.61076868352,2023-01-02 17:00:00,Credit
43,933,1454,76,2911.775546145365,25270.672024741838,2023-01-02 18:00:00,Cash
44,1886,4531,30,2041.0477898181578,28489.139023514723,2023-01-02 19:00:00,Net 60
45,1150,2902,16,1302.5647657371248,5987.289514764366,2023-01-02 20:00:00,Credit
46,1374,4130,75,1464.6797301336296,33229.3819358274,2023-01-02 21:00:00,Net 60
47,973,4404,16,660.7366300261881,44290.43170503514,2023-01-02 22:00:00,Net 60
48,1674,167,42,3811.477576173332,9932.238813359181,2023-01-02 23:00:00,Net 60
49,389,3948,7,3194.453159717283,49705.933732068435,2023-01-03 00:00:00,Net 60
50,1882,3137,41,1632.44955176586,7175.54622323762,2023-01-03 01:00:00,Net 60
51,1408,2179,57,3243.288643225471,24369.840783699237,2023-01-03 02:00:00,Credit
52,34,4337,96,4278.131425059564,13237.120343191951,2023-01-03 03:00:00,Net 60
53,1002,1078,63,4984.291414919305,4361.689837817645,2023-01-03 04:00:00,Cash
54,1243,1123,11,1187.6112650275536,12828.402351729093,2023-01-03 05:00:00,Cash
55,1019,1142,45,3428.922387510329,35874.80278156878,2023-01-03 06:00:00,Net 60
56,1903,2768,46,1676.0178261325125,49957.55015986272,2023-01-03 07:00:00,Cash
57,1125,1742,79,666.1841805861119,32387.144192486416,2023-01-03 08:00:00,Net 60
58,461,131,81,2246.5214955891147,42384.083334309136,2023-01-03 09:00:00,Net 60
59,1953,4305,45,3614.950760353387,14340.041730011313,2023-01-03 10:00:00,Cash
60,910,4859,25,2981.2861677939077,8060.698036857804,2023-01-03 11:00:00,Credit
61,31,1306,83,639.9445617201493,20792.644894082823,2023-01-03 12:00:00,Net 60
62,802,757,56,4023.196914104916,25012.529990955914,2023-01-03 13:00:00,Net 60
63,1677,1113,7,2274.934180530404,35581.40554813064,2023-01-03 14:00:00,Credit
64,728,3408,45,1330.8422832370366,32367.37940832436,2023-01-03 15:00:00,Net 30
65,273,2932,89,3974.1028869608745,47162.37962046207,2023-01-03 16:00:00,Cash
66,1946,1607,70,2122.67401280476,4697.402698177597,2023-01-03 17:00:00,Net 60
67,101,3768,36,2012.3961081568884,2791.2238059699034,2023-01-03 18:00:00,Net 60
68,1578,1951,80,2072.032163827799,25677.001471799016,2023-01-03 19:00:00,Credit
69,1173,1467,41,3616.1583324158632,17587.124902365234,2023-01-03 20:00:00,Net 60
70,1114,3925,84,807.1004366371378,44786.72430691471,2023-01-03 21:00:00,Net 30
71,1790,99,59,4220.211023504413,30834.04017997167,2023-01-03 22:00:00,Cash
72,700,1243,26,759.7307053128864,17666.53787455704,2023-01-03 23:00:00,Net 30
73,632,1439,69,3976.6983438781076,42745.08713324711,2023-01-04 00:00:00,Cash
74,1707,3467,22,3099.381470712475,45836.4508869712,2023-01-04 01:00:00,Net 30
75,1938,3082,69,52.18101065977396,49611.28439623739,2023-01-04 02:00:00,Net 60
76,1233,4198,4,2573.417035429747,7187.787083593472,2023-01-04 03:00:00,Credit
77,105,2730,31,351.7758368258734,27069.65655255523,2023-01-04 04:00:00,Net 30
78,976,3932,54,1134.6844007768846,40346.494106872924,2023-01-04 05:00:00,Credit
79,1459,4221,6,4292.539308319943,7198.839150268062,2023-01-04 06:00:00,Cash
80,1724,3227,80,4240.2941934129185,24023.607981472112,2023-01-04 07:00:00,Credit
81,819,388,8,3846.188794515342,32827.843789651306,2023-01-04 08:00:00,Net 60
82,1526,2563,34,1736.8734830873202,9697.77371889949,2023-01-04 09:00:00,Net 60
83,1608,1679,56,4506.667549587357,8200.946614086071,2023-01-04 10:00:00,Credit
84,1382,843,75,155.94546875086542,1113.8577911194946,2023-01-04 11:00:00,Net 60
85,877,2217,6,2595.55439688705,530.3291590707249,2023-01-04 12:00:00,Net 30
86,493,3187,71,3744.582070071741,23237.89350006365,2023-01-04 13:00:00,Cash
87,1095,17,39,1314.3836293329125,49873.23796233529,2023-01-04 14:00:00,Net 60
88,1915,4024,40,4503.330002798626,18680.40699228442,2023-01-04 15:00:00,Net 60
89,421,1683,46,1418.5015048873306,30206.310566969943,2023-01-04 16:00:00,Net 30
90,94,1766,33,2821.2257039033084,42657.970699838945,2023-01-04 17:00:00,Credit
91,910,2625,54,3257.791168981442,41590.63098757644,2023-01-04 18:00:00,Credit
92,282,4281,70,1547.4861425582199,364.84180256435087,2023-01-04 19:00:00,Cash
93,1640,3345,10,3469.534735118542,36385.13822328603,2023-01-04 20:00:00,Credit
