user_id,business_name,business_type,industry,annual_revenue,employee_count,credit_limit
1,Business 1,Service Provider,Finance,4226825.086583471,922,47137.7144229341
2,Business 2,Distributor,Finance,7376610.285205828,28,20052.29618895315
3,Business 3,Government,Healthcare,6121487.656523854,201,21252.32006429108
4,Business 4,Manufacturer,Technology,6775520.718081578,58,45417.95507755966
5,Business 5,Government,Retail,1867673.6852978857,279,63160.124005523474
6,Business 6,Retailer,Technology,4664577.711474438,796,43505.294110544084
7,Business 7,Government,Manufacturing,5106416.238596482,142,51575.369084097925
8,Business 8,Retailer,Manufacturing,1440025.509735902,717,57221.83720380402
9,Business 9,Service Provider,Finance,9482848.590668533,691,91815.72207569491
10,Business 10,Service Provider,Retail,9643708.284504574,99,11853.768652605095
11,Business 11,Manufacturer,Healthcare,1062099.9552683278,602,58259.83388594683
12,Business 12,Retailer,Retail,8933768.618159879,345,34909.482722278735
13,Business 13,Service Provider,Technology,6780301.456579679,496,63423.4151002666
14,Business 14,Retailer,Manufacturing,8434899.082967691,296,64005.08673617836
15,Business 15,Government,Technology,542159.4900591334,41,65035.67619894172
16,Business 16,Service Provider,Manufacturing,5152154.0637228,640,95481.52054186993
17,Business 17,Distributor,Manufacturing,5764498.153677745,802,73100.79711333435
18,Business 18,Government,Manufacturing,7456848.824298375,118,46965.36637155871
19,Business 19,Retailer,Finance,1787611.2593521695,451,57474.256992908406
20,Business 20,Government,Retail,9828628.28943252,938,14793.60973220741
21,Business 21,Retailer,Healthcare,130830.73112254264,691,43484.06089338481
22,Business 22,Service Provider,Technology,4081207.6713735634,226,29817.75271986077
23,Business 23,Service Provider,Manufacturing,4549146.86901309,15,22799.077222115917
24,Business 24,Government,Technology,4717471.295957724,802,58574.90259769778
25,Business 25,Manufacturer,Finance,348860.42917562055,874,90443.4109526364
26,Business 26,Retailer,Retail,9604578.53080268,261,34345.74822181229
27,Business 27,Service Provider,Retail,7741221.225409211,480,62557.81507474891
28,Business 28,Government,Technology,2802490.702282998,484,83978.43595672087
29,Business 29,Manufacturer,Healthcare,2992322.743731201,342,34694.051918523044
30,Business 30,Manufacturer,Retail,2234656.7432398098,915,22879.495970085612
31,Business 31,Government,Retail,6633135.886476254,324,62967.303863439935
32,Business 32,Manufacturer,Technology,3588131.178230061,170,61109.406069299206
33,Business 33,Manufacturer,Healthcare,621187.628223706,216,95195.77797283989
34,Business 34,Service Provider,Retail,8833118.602858068,965,79571.62396714425
35,Business 35,Government,Retail,1546075.1447527106,860,63202.53971096352
36,Business 36,Distributor,Finance,8025992.485120434,752,66254.80045624608
37,Business 37,Service Provider,Technology,6633638.997090742,988,94713.81953015403
38,Business 38,Government,Retail,5127550.699212388,690,97595.75857171896
39,Business 39,Service Provider,Healthcare,2857220.110107545,359,47009.31634116632
40,Business 40,Government,Finance,543992.0174200742,241,16135.269495821613
41,Business 41,Distributor,Manufacturing,5206181.920004938,167,79502.90159780384
42,Business 42,Government,Finance,4396781.002596545,189,49741.37143589548
43,Business 43,Service Provider,Manufacturing,1136058.4788498906,547,19991.276043664235
44,Business 44,Distributor,Manufacturing,8778315.923919559,790,78566.79726023071
45,Business 45,Manufacturer,Healthcare,7713134.342970247,421,90475.23808108624
46,Business 46,Distributor,Finance,1110984.90231869,796,61945.31697913189
