movieId,title,genres
1,Movie 1,Action
2,Movie 2,Comedy
3,Movie 3,Romance
4,Movie 4,Comedy
5,Movie 5,Romance
6,Movie 6,Sci-Fi
7,Movie 7,Romance
8,Movie 8,Comedy
9,Movie 9,Drama
10,Movie 10,Drama
11,Movie 11,Action
12,Movie 12,Sci-Fi
13,Movie 13,Thriller
14,Movie 14,Action
15,Movie 15,Action
16,Movie 16,Sci-Fi
17,Movie 17,Comedy
18,Movie 18,Sci-Fi
19,Movie 19,Sci-Fi
20,Movie 20,Action
21,Movie 21,Action
22,Movie 22,Thriller
23,Movie 23,Thriller
24,Movie 24,Drama
25,Movie 25,Comedy
26,Movie 26,Thriller
27,Movie 27,Comedy
28,Movie 28,Romance
29,Movie 29,Comedy
30,Movie 30,Comedy
31,Movie 31,Action
32,Movie 32,Action
33,Movie 33,Comedy
34,Movie 34,Action
35,Movie 35,Comedy
36,Movie 36,Thriller
37,Movie 37,Action
38,Movie 38,Action
39,Movie 39,Thriller
40,Movie 40,Action
41,Movie 41,Drama
42,Movie 42,Action
43,Movie 43,Action
44,Movie 44,Drama
45,Movie 45,Sci-Fi
46,Movie 46,Sci-Fi
47,Movie 47,Romance
48,Movie 48,Horror
49,Movie 49,Comedy
50,Movie 50,Comedy
51,Movie 51,Comedy
52,Movie 52,Horror
53,Movie 53,Horror
54,Movie 54,Thriller
55,Movie 55,Thriller
56,Movie 56,Sci-Fi
57,Movie 57,Romance
58,Movie 58,Sci-Fi
59,Movie 59,Romance
60,Movie 60,Sci-Fi
61,Movie 61,Drama
62,Movie 62,Thriller
63,Movie 63,Romance
64,Movie 64,Thriller
65,Movie 65,Sci-Fi
66,Movie 66,Horror
67,Movie 67,Comedy
68,Movie 68,Drama
69,Movie 69,Horror
70,Movie 70,Drama
71,Movie 71,Horror
72,Movie 72,Thriller
73,Movie 73,Romance
74,Movie 74,Comedy
75,Movie 75,Comedy
76,Movie 76,Comedy
77,Movie 77,Horror
78,Movie 78,Horror
79,Movie 79,Thriller
80,Movie 80,Thriller
81,Movie 81,Thriller
82,Movie 82,Action
83,Movie 83,Sci-Fi
84,Movie 84,Sci-Fi
85,Movie 85,Comedy
86,Movie 86,Thriller
87,Movie 87,Sci-Fi
88,Movie 88,Horror
89,Movie 89,Comedy
90,Movie 90,Horror
91,Movie 91,Action
92,Movie 92,Horror
93,Movie 93,Thriller
94,Movie 94,Comedy
95,Movie 95,Sci-Fi
96,Movie 96,Thriller
97,Movie 97,Drama
98,Movie 98,Comedy
99,Movie 99,Drama
100,Movie 100,Comedy
101,Movie 101,Action
102,Movie 102,Action
103,Movie 103,Thriller
104,Movie 104,Drama
105,Movie 105,Sci-Fi
106,Movie 106,Sci-Fi
107,Movie 107,Horror
108,Movie 108,Horror
109,Movie 109,Romance
110,Movie 110,Horror
111,Movie 111,Action
112,Movie 112,Comedy
113,Movie 113,Thriller
114,Movie 114,Action
115,Movie 115,Sci-Fi
116,Movie 116,Thriller
117,Movie 117,Horror
118,Movie 118,Comedy
119,Movie 119,Thriller
120,Movie 120,Thriller
121,Movie 121,Thriller
122,Movie 122,Romance
123,Movie 123,Drama
124,Movie 124,Sci-Fi
125,Movie 125,Thriller
126,Movie 126,Thriller
127,Movie 127,Drama
128,Movie 128,Thriller
129,Movie 129,Drama
130,Movie 130,Romance
131,Movie 131,Horror
132,Movie 132,Comedy
133,Movie 133,Drama
134,Movie 134,Thriller
135,Movie 135,Sci-Fi
136,Movie 136,Drama
137,Movie 137,Romance
138,Movie 138,Drama
139,Movie 139,Action
140,Movie 140,Romance
141,Movie 141,Action
142,Movie 142,Drama
143,Movie 143,Thriller
144,Movie 144,Romance
145,Movie 145,Thriller
146,Movie 146,Action
147,Movie 147,Horror
148,Movie 148,Thriller
149,Movie 149,Horror
150,Movie 150,Sci-Fi
151,Movie 151,Drama
152,Movie 152,Drama
153,Movie 153,Action
154,Movie 154,Sci-Fi
155,Movie 155,Romance
156,Movie 156,Horror
157,Movie 157,Comedy
158,Movie 158,Horror
159,Movie 159,Action
160,Movie 160,Action
161,Movie 161,Thriller
162,Movie 162,Romance
163,Movie 163,Sci-Fi
164,Movie 164,Action
165,Movie 165,Thriller
166,Movie 166,Drama
167,Movie 167,Comedy
168,Movie 168,Horror
169,Movie 169,Horror
170,Movie 170,Horror
171,Movie 171,Action
172,Movie 172,Drama
173,Movie 173,Horror
174,Movie 174,Drama
175,Movie 175,Thriller
176,Movie 176,Thriller
177,Movie 177,Action
178,Movie 178,Sci-Fi
179,Movie 179,Horror
180,Movie 180,Horror
181,Movie 181,Action
182,Movie 182,Thriller
183,Movie 183,Sci-Fi
184,Movie 184,Romance
185,Movie 185,Comedy
186,Movie 186,Sci-Fi
187,Movie 187,Drama
188,Movie 188,Comedy
189,Movie 189,Thriller
190,Movie 190,Comedy
191,Movie 191,Romance
192,Movie 192,Thriller
193,Movie 193,Horror
194,Movie 194,Horror
195,Movie 195,Romance
196,Movie 196,Romance
197,Movie 197,Sci-Fi
198,Movie 198,Horror
199,Movie 199,Horror
200,Movie 200,Action
201,Movie 201,Thriller
202,Movie 202,Romance
203,Movie 203,Action
204,Movie 204,Sci-Fi
205,Movie 205,Sci-Fi
206,Movie 206,Sci-Fi
207,Movie 207,Comedy
208,Movie 208,Comedy
209,Movie 209,Thriller
210,Movie 210,Romance
211,Movie 211,Drama
212,Movie 212,Drama
213,Movie 213,Sci-Fi
214,Movie 214,Thriller
215,Movie 215,Action
216,Movie 216,Action
217,Movie 217,Romance
218,Movie 218,Drama
219,Movie 219,Thriller
220,Movie 220,Comedy
221,Movie 221,Horror
222,Movie 222,Comedy
223,Movie 223,Action
224,Movie 224,Thriller
225,Movie 225,Thriller
226,Movie 226,Action
227,Movie 227,Horror
228,Movie 228,Comedy
229,Movie 229,Thriller
230,Movie 230,Comedy
231,Movie 231,Romance
232,Movie 232,Romance
233,Movie 233,Sci-Fi
234,Movie 234,Horror
235,Movie 235,Romance
236,Movie 236,Horror
237,Movie 237,Thriller
238,Movie 238,Horror
239,Movie 239,Romance
240,Movie 240,Action
241,Movie 241,Sci-Fi
242,Movie 242,Drama
243,Movie 243,Drama
244,Movie 244,Drama
245,Movie 245,Thriller
246,Movie 246,Action
247,Movie 247,Sci-Fi
248,Movie 248,Romance
249,Movie 249,Comedy
250,Movie 250,Comedy
251,Movie 251,Romance
252,Movie 252,Sci-Fi
253,Movie 253,Horror
254,Movie 254,Action
255,Movie 255,Thriller
256,Movie 256,Horror
257,Movie 257,Drama
258,Movie 258,Comedy
259,Movie 259,Action
260,Movie 260,Action
261,Movie 261,Thriller
262,Movie 262,Horror
263,Movie 263,Thriller
264,Movie 264,Thriller
265,Movie 265,Thriller
266,Movie 266,Horror
267,Movie 267,Comedy
268,Movie 268,Sci-Fi
269,Movie 269,Drama
270,Movie 270,Action
271,Movie 271,Horror
272,Movie 272,Horror
273,Movie 273,Thriller
274,Movie 274,Drama
275,Movie 275,Action
276,Movie 276,Drama
277,Movie 277,Horror
278,Movie 278,Comedy
279,Movie 279,Horror
280,Movie 280,Romance
281,Movie 281,Drama
282,Movie 282,Comedy
283,Movie 283,Horror
284,Movie 284,Action
285,Movie 285,Thriller
286,Movie 286,Action
287,Movie 287,Sci-Fi
288,Movie 288,Horror
289,Movie 289,Sci-Fi
290,Movie 290,Drama
291,Movie 291,Horror
292,Movie 292,Action
293,Movie 293,Thriller
294,Movie 294,Action
295,Movie 295,Action
296,Movie 296,Romance
297,Movie 297,Horror
298,Movie 298,Romance
299,Movie 299,Romance
300,Movie 300,Comedy
301,Movie 301,Thriller
302,Movie 302,Drama
303,Movie 303,Sci-Fi
304,Movie 304,Comedy
305,Movie 305,Romance
306,Movie 306,Sci-Fi
307,Movie 307,Romance
308,Movie 308,Horror
309,Movie 309,Thriller
310,Movie 310,Drama
311,Movie 311,Horror
312,Movie 312,Sci-Fi
313,Movie 313,Action
314,Movie 314,Thriller
315,Movie 315,Action
316,Movie 316,Action
317,Movie 317,Drama
318,Movie 318,Romance
319,Movie 319,Romance
320,Movie 320,Sci-Fi
321,Movie 321,Action
322,Movie 322,Horror
323,Movie 323,Romance
324,Movie 324,Horror
325,Movie 325,Horror
326,Movie 326,Action
327,Movie 327,Romance
328,Movie 328,Comedy
329,Movie 329,Comedy
330,Movie 330,Drama
331,Movie 331,Horror
332,Movie 332,Drama
333,Movie 333,Sci-Fi
334,Movie 334,Comedy
335,Movie 335,Thriller
336,Movie 336,Action
337,Movie 337,Drama
338,Movie 338,Horror
339,Movie 339,Comedy
340,Movie 340,Horror
341,Movie 341,Comedy
342,Movie 342,Horror
343,Movie 343,Sci-Fi
344,Movie 344,Action
345,Movie 345,Action
346,Movie 346,Romance
347,Movie 347,Drama
348,Movie 348,Drama
349,Movie 349,Thriller
350,Movie 350,Thriller
351,Movie 351,Comedy
352,Movie 352,Sci-Fi
353,Movie 353,Sci-Fi
354,Movie 354,Comedy
355,Movie 355,Sci-Fi
356,Movie 356,Comedy
357,Movie 357,Drama
358,Movie 358,Thriller
359,Movie 359,Comedy
360,Movie 360,Thriller
361,Movie 361,Comedy
362,Movie 362,Sci-Fi
363,Movie 363,Comedy
364,Movie 364,Drama
365,Movie 365,Drama
366,Movie 366,Comedy
367,Movie 367,Comedy
368,Movie 368,Thriller
369,Movie 369,Thriller
370,Movie 370,Drama
371,Movie 371,Sci-Fi
372,Movie 372,Action
373,Movie 373,Sci-Fi
374,Movie 374,Comedy
375,Movie 375,Thriller
376,Movie 376,Thriller
377,Movie 377,Action
378,Movie 378,Comedy
379,Movie 379,Comedy
380,Movie 380,Drama
381,Movie 381,Sci-Fi
382,Movie 382,Horror
383,Movie 383,Comedy
384,Movie 384,Sci-Fi
385,Movie 385,Horror
386,Movie 386,Horror
387,Movie 387,Romance
388,Movie 388,Thriller
389,Movie 389,Thriller
390,Movie 390,Comedy
391,Movie 391,Action
392,Movie 392,Drama
393,Movie 393,Romance
394,Movie 394,Action
395,Movie 395,Drama
396,Movie 396,Horror
397,Movie 397,Drama
398,Movie 398,Romance
399,Movie 399,Horror
400,Movie 400,Action
401,Movie 401,Romance
402,Movie 402,Thriller
403,Movie 403,Thriller
404,Movie 404,Romance
405,Movie 405,Horror
406,Movie 406,Action
407,Movie 407,Drama
408,Movie 408,Comedy
409,Movie 409,Comedy
410,Movie 410,Drama
411,Movie 411,Sci-Fi
412,Movie 412,Drama
413,Movie 413,Action
414,Movie 414,Drama
415,Movie 415,Sci-Fi
416,Movie 416,Romance
417,Movie 417,Sci-Fi
418,Movie 418,Thriller
419,Movie 419,Action
420,Movie 420,Comedy
421,Movie 421,Comedy
422,Movie 422,Action
423,Movie 423,Horror
424,Movie 424,Drama
425,Movie 425,Sci-Fi
426,Movie 426,Horror
427,Movie 427,Thriller
428,Movie 428,Thriller
429,Movie 429,Thriller
430,Movie 430,Drama
431,Movie 431,Action
432,Movie 432,Thriller
433,Movie 433,Drama
434,Movie 434,Drama
435,Movie 435,Thriller
436,Movie 436,Thriller
437,Movie 437,Sci-Fi
438,Movie 438,Drama
439,Movie 439,Drama
440,Movie 440,Sci-Fi
441,Movie 441,Romance
442,Movie 442,Sci-Fi
443,Movie 443,Sci-Fi
444,Movie 444,Sci-Fi
445,Movie 445,Horror
446,Movie 446,Drama
447,Movie 447,Thriller
448,Movie 448,Romance
449,Movie 449,Comedy
450,Movie 450,Action
451,Movie 451,Sci-Fi
452,Movie 452,Thriller
453,Movie 453,Action
454,Movie 454,Sci-Fi
455,Movie 455,Romance
456,Movie 456,Romance
457,Movie 457,Comedy
458,Movie 458,Action
459,Movie 459,Romance
460,Movie 460,Drama
461,Movie 461,Drama
462,Movie 462,Romance
463,Movie 463,Sci-Fi
464,Movie 464,Drama
465,Movie 465,Horror
466,Movie 466,Action
467,Movie 467,Drama
468,Movie 468,Comedy
469,Movie 469,Drama
