itemid,property,value
1,categoryid,Industrial Equipment
1,brand,Brand_18
1,price,44.63858673665007
1,rating,4.435662179847231
2,categoryid,Office Furniture
2,brand,Brand_19
2,price,776.1613051429821
2,rating,3.541813624508949
3,categoryid,IT Hardware
3,brand,Brand_9
3,price,60.653102276611044
3,rating,4.483680065831278
4,categoryid,Office Furniture
4,brand,Brand_7
4,price,147.74049936645787
4,rating,3.535676506182045
5,categoryid,Industrial Equipment
5,brand,Brand_7
5,price,879.3541742057747
5,rating,4.536703658431657
6,categoryid,IT Hardware
6,brand,Brand_6
6,price,216.55547297581967
6,rating,3.1882242503117775
7,categoryid,IT Hardware
7,brand,Brand_8
7,price,302.5209468678416
7,rating,4.574351667988628
8,categoryid,Safety Equipment
8,brand,Brand_13
8,price,824.0883639177237
8,rating,4.653730151446167
9,categoryid,Office Furniture
9,brand,Brand_2
9,price,781.9773544906845
9,rating,4.582268750134593
10,categoryid,Industrial Equipment
10,brand,Brand_12
10,price,140.03464454979243
10,rating,3.820874588920535
11,categoryid,IT Hardware
11,brand,Brand_6
11,price,301.721038265553
11,rating,4.9665681185786585
12,categoryid,IT Hardware
12,brand,Brand_1
12,price,513.5469903644976
12,rating,3.0860505948934325
13,categoryid,IT Hardware
13,brand,Brand_15
13,price,121.42118605249897
13,rating,4.715972066431289
14,categoryid,IT Hardware
14,brand,Brand_12
14,price,469.1979551211088
14,rating,3.419779238692395
15,categoryid,IT Hardware
15,brand,Brand_10
15,price,406.9280704618121
15,rating,3.387406238252739
16,categoryid,IT Hardware
16,brand,Brand_19
16,price,424.29080872910845
16,rating,3.924661385681118
17,categoryid,Office Supplies
17,brand,Brand_6
17,price,746.3227742552207
17,rating,4.4753335613587435
18,categoryid,Industrial Equipment
18,brand,Brand_1
18,price,336.4139699850862
18,rating,4.240642492896219
19,categoryid,IT Hardware
19,brand,Brand_1
19,price,247.15354804712288
19,rating,3.8086795794206063
20,categoryid,IT Hardware
20,brand,Brand_9
20,price,773.1284433870753
20,rating,4.947882187786863
21,categoryid,IT Hardware
21,brand,Brand_5
21,price,954.5732858611057
21,rating,4.048809158655193
22,categoryid,Manufacturing Tools
22,brand,Brand_8
22,price,188.42386807732947
22,rating,3.3339031902125473
23,categoryid,Manufacturing Tools
23,brand,Brand_4
23,price,789.7828825109297
23,rating,3.27780657752802
24,categoryid,Manufacturing Tools
24,brand,Brand_18
24,price,893.2546252676383
24,rating,4.549852853828716
25,categoryid,IT Hardware
25,brand,Brand_13
25,price,608.2559495066661
25,rating,3.3978808796462676
26,categoryid,Industrial Equipment
26,brand,Brand_9
26,price,438.7744104814363
26,rating,4.369444056002099
27,categoryid,Office Supplies
27,brand,Brand_3
27,price,812.1233619010025
27,rating,4.08265259167773
28,categoryid,IT Hardware
28,brand,Brand_7
28,price,95.24962065913869
28,rating,4.540406024234004
29,categoryid,Safety Equipment
29,brand,Brand_7
29,price,950.3806484194027
29,rating,4.429618737320673
30,categoryid,Manufacturing Tools
30,brand,Brand_16
30,price,33.08577929914351
30,rating,4.548245614270739
31,categoryid,Manufacturing Tools
31,brand,Brand_1
31,price,398.9409210045395
31,rating,3.3189729102950256
32,categoryid,Safety Equipment
32,brand,Brand_15
32,price,353.50078449470857
32,rating,3.536765545077463
33,categoryid,Office Supplies
33,brand,Brand_2
33,price,531.5661609255648
33,rating,4.668660443178296
34,categoryid,Industrial Equipment
34,brand,Brand_1
34,price,232.515973323534
34,rating,3.023132302292991
35,categoryid,Manufacturing Tools
35,brand,Brand_15
35,price,788.6457242979545
35,rating,4.695167414140133
36,categoryid,Industrial Equipment
36,brand,Brand_2
36,price,271.43937326957393
36,rating,3.6055246967253183
37,categoryid,Safety Equipment
37,brand,Brand_4
37,price,47.140384868185485
37,rating,4.7765836707615374
38,categoryid,Office Furniture
38,brand,Brand_4
38,price,456.98359338936046
38,rating,3.7257260587700083
39,categoryid,Office Furniture
39,brand,Brand_19
39,price,201.7146817167264
39,rating,3.3822995569968697
40,categoryid,Manufacturing Tools
40,brand,Brand_8
40,price,579.2979672976869
40,rating,3.5606603124675518
41,categoryid,Office Furniture
41,brand,Brand_17
41,price,610.1552610443941
41,rating,3.9851366122569116
42,categoryid,Manufacturing Tools
42,brand,Brand_13
42,price,75.0091454575277
42,rating,4.38682986206223
43,categoryid,Safety Equipment
43,brand,Brand_2
43,price,106.02919604779146
43,rating,3.746559648967837
44,categoryid,Office Furniture
44,brand,Brand_7
44,price,167.72164450253675
44,rating,3.3665820033111262
45,categoryid,Office Furniture
45,brand,Brand_3
45,price,506.3346036976505
45,rating,3.6671860359163153
46,categoryid,Office Supplies
46,brand,Brand_12
46,price,937.1557397438273
46,rating,3.9662718941091075
47,categoryid,Office Supplies
47,brand,Brand_19
47,price,672.2872083320074
47,rating,4.514849657823783
